Level,UserID,TimeTaken,Time
1,abcd,0 days 00:00:38.593083,0:00:38
1,abcd,0 days 00:00:28.552672,00:00:28
1,User11977628,0 days 00:00:51.904493,00:00:51
1,User11977628,0 days 00:00:46.825234,00:00:46
1,User8653175,0 days 00:00:28.596429,00:00:28
1,User8653175,0 days 00:00:32.426330,00:00:32
1,User8653175,0 days 00:00:23.423519,00:00:23
1,User8653175,0 days 00:00:44.864672,00:00:44
1,User14189242,0 days 00:00:23.659396,00:00:23
1,User13671071,0 days 00:00:22.016855,00:00:22
1,User13671071,0 days 00:00:35.834118,00:00:35
1,User13671071,0 days 00:00:32.438659,00:00:32
1,User13671071,0 days 00:00:36.929389,00:00:36
1,abcd,0 days 00:00:56.936064,00:00:56
1,abcd,0 days 00:06:43.716175,00:06:43
1,User19728993,0 days 00:00:26.133088,00:00:26
1,User20909582,0 days 00:00:32.574984,00:00:32
1,User20909582,0 days 00:00:47.146872,00:00:47
1,User20909582,0 days 00:00:30.498972,00:00:30
1,User20909582,0 days 00:00:26.827242,00:00:26
1,User20909582,0 days 00:00:39.165102,00:00:39
1,User20909582,0 days 00:00:23.803197,00:00:23
1,User20909582,0 days 00:00:36.064614,00:00:36
1,User20909582,0 days 00:00:51.597518,00:00:51
1,User20909582,0 days 00:00:32.027505,00:00:32
1,User20909582,0 days 00:00:33.930842,00:00:33
1,User20909582,0 days 00:00:26.006664,00:00:26
1,User20909582,0 days 00:00:25.976626,00:00:25
3,User20909582,0 days 00:06:23.580824,00:06:23
3,User3884331,0 days 00:05:16.763600,00:05:16
1,User3884331,0 days 00:00:41.433483,00:00:41
1,User19787339,0 days 00:00:39.690467,00:00:39
1,User19787339,0 days 00:00:27.353078,00:00:27
3,User6161666,0 days 00:06:08.359199,00:06:08
1,User12605843,0 days 00:00:42.857705,00:00:42
1,User12605843,0 days 00:00:32.011896,00:00:32
1,User12605843,0 days 00:00:27.924024,00:00:27
1,User12605843,0 days 00:00:43.455998,00:00:43
1,User20175987,0 days 00:00:37.140427,00:00:37
1,User13162356,0 days 00:00:53.656213,00:00:53
